,User,Date Created,Number of Likes,Source of Tweet,Tweet,ReTweet Count,Reply Count,View Count
566,Smarteur,2023-03-04 23:54:24+00:00,1,Twitter for Android,"🇧🇷 La 3ème banque du #Brésil, #Bradesco, s'associe à la principale université du pays pour explorer les possibilités offertes par le Bitcoin et les cryptos.

🤝🏾 Depuis son conflit avec la #Russie, l'#Ukraine a reçu un don de plus de 70 millions de dollars en #cryptomonnaies.",0,1,86.0
567,Smarteur,2023-03-04 23:54:23+00:00,1,Twitter for Android,"🇺🇸 #Blackhawk, un des plus grands prestataires de services de paiement au monde, va proposer des cartes cadeaux en #Bitcoin chez les détaillants américains

🗂 Une faille de sécurité du #wallet #MyAlgo sur le réseau #Algoran fait perdre à ses utilisateurs 9.5 millions de dollars.",0,1,51.0
568,BenjaminCPTGTR,2023-03-04 23:54:20+00:00,1,Twitter for Android,"@bitcoin_clown We most likely saw it at $15.5k
If not - better",0,2,16.0
569,MartinM40198744,2023-03-04 23:54:17+00:00,1,Twitter Web App,What if #Bitcoin  mining rewards reduced gradually every 10minutes rather than halving every 4 years?,0,1,53.0
570,CryptoWhaleski,2023-03-04 23:54:10+00:00,5,Twitter for iPhone,"You still not into $FET, $LABS or $AGIX?
Many people begged for a pull back in 2021…

The upcoming 12-24 months will be life changing. Don’t sleep. This time to wake up champ.🔮
$BTC $ETH #Bitcoin",0,0,281.0
571,nicholasemmet,2023-03-04 23:54:09+00:00,0,Twitter for iPhone,"A veces, los días de trading pueden significar un bajo rendimiento y los días sin trading pueden significar un gran rendimiento. #bitcoin https://t.co/MtePuCQL3B",0,0,27.0
572,NezihGurbuz,2023-03-04 23:54:04+00:00,6,Twitter for Android,"#OXRO, otomatik karar verme işlemleri gerçekleştirerek yatırımcılar için avantaj sağlar. https://t.co/1MgBEKRXYS #dxgm #bitcoin https://t.co/7GScUxENFL",3,1,90.0
573,TagadoBTC,2023-03-04 23:54:01+00:00,0,Twitter for Android,"@Christ2728 J'ai ce personnage niveau 9 qui me rapporte 2,02 WLKN par combat. Si je le fais passer niveau 10 je gagnerai 5,14 WLKN mais pour ça il faut que je marche car il faut que j'utilise 800 GEM pour son évolution, soit 800 000 pas. https://t.co/K5BDwQIS33",0,2,159.0
574,weeblueghost,2023-03-04 23:53:57+00:00,0,weeblueghost,"- 
BTC price: $22,349 / £18,675 

44.74 Naks per USD
53.55 Naks per GBP

One #Bitcoin = one million #Naks. Simple as that!  
#Bitcoinprice #SatoshiNakamoto

04/03/2023  23:53:55 GMT https://t.co/TifT9WUTMK",0,0,43.0
575,Mrz2Mroz,2023-03-04 23:53:55+00:00,0,Twitter for iPhone,"@Art0fLife_ Stack sats you will need them for retirement 😏 #bitcoin has already made a difference. Blind will work for paper money, wise will keep their wealth secured by math.",0,1,72.0
576,level941,2023-03-04 23:53:51+00:00,69,Twitter for iPhone,"Bitcoin will crash 80% and then slowly grind its way back up to the mean so the people who capitulated don’t even notice. Gradually pump slowly, there is never any press about it. It’s intentionally boring af",1,8,4329.0
577,BlueCrypto_,2023-03-04 23:53:51+00:00,7,Twitter Web App,"$BTC 4hr. timeframe

-resistance at 11.8% blue fib line
-support at 78.6% green fib line

➡to see upside, price MUST break above 11.8% fib &amp; confirm support at that level; target 🎯20ema (green solid line)

🚨support fails, #Bitcoin dumps towards 88.6% fib https://t.co/M2IldCcpqC",1,1,1860.0
578,RobertEBuhmann,2023-03-04 23:53:50+00:00,1,Twitter Web App,@MrFwashere @bitglyphsnft Thank you for this amazing ordinal search! #OrdinalsNFT #Bitcoin,0,0,11.0
579,Dr_Moonshow,2023-03-04 23:53:48+00:00,2,Twitter Web App,"Fear and Greed Index - NEUTRAL 50
#Bitcoin  Price: $22,338
$BTC #Crypto  #cryptocurrency  #BTCUSDT  #BTC https://t.co/4B6JntMWGO",0,1,130.0
580,nastylab1,2023-03-04 23:53:43+00:00,2,Twitter for iPhone,@OTC_Bitcoin Bottom is in?,0,2,160.0
581,bitcoin_futuro,2023-03-04 23:53:39+00:00,0,Twitter for Android,@jordanbpeterson They should be no more a crime than a drawing of you. This is freedom of speech in its purist form. Society is yet to find ways to deal with this kind of technology. Don't blame the tech.,0,0,8.0
582,koinhopper,2023-03-04 23:53:33+00:00,0,dlvr.it,"This Week in Coins: First Two Weeks of Straight Losses in 2023, Bitcoin and Ethereum Dip - Decrypt https://t.co/rwKtf2wHCj",1,0,6.0
